Country	Region	Area_km2	Population	GDP_dollar	GDP_per_capita	Capital	Latitude	Longitude	Latitude_deg	Longitude_deg	Sanitation_total	Sanitation_urban	Sanitation_rural	Drinking_total	Drinking_urban	Drinking_rural	Life_Expectancy_Male	Life_Expectancy_Female	School_Total	School_Male	School_Female	Housing_total	Housing_urban	Housing_rural	Unemployment_both	Unemployment_male	Unemployment_female	Marriage_male	Marriage_female	Contraceptives	Fertility	Youth_fertility	HIV_AIDS	HIV_rate_women	Illiteracy_male	Illiteracy_female	Employees_male	Employees_female	Employers_male	Employers_female	Own_account_male	Own_account_female	Family_worker_male	Family_worker_female	Density
Latvia	EU	64589	2290237	26530000000	11500	Riga	56.9667	24.1333	N 56 deg 58	E 24 deg 8							65.6	76.9	15	14	16				10.6	10.7	10.5	29	27	48	1.3	18	8	33	0.3	0.2	85	89	4	2	7	5	4	4	35.5
Lebanon	ME	10400	3826018	18830000000	5000	Beirut	33.8833	35.5	N 33 deg 53	E 35 deg 30	99	100	87	100	100	100	69.7	74	13	13	13									61	2.3	27	3												367.9
Lesotho	AF	30355	2031348	5892000000	3200	Maseru	-29.4667	27.5	S 29 deg 28	E 27 deg 30	49	72	40	78	88	74	34.9	38.1	11	10	11	2.1						26	21	30	3.6	39	320	57											66.9
Liberia	AF	111370	2900269	2903000000	900	Monrovia	6.3	-10.7833	N 6 deg 18	W 10 deg 47							41.4	43.5	10	11	9								20	6	6.8	227	100	56	13.7	44.6									26
Libya	AF	1759540	5765563	37480000000	6700	Tripoli	32.75	13.1833	N 32 deg 45	E 13 deg 11	97	97	96	72	72	68	71.4	76	16	16	17							32	29	40	3	7	10		0.2	6									3.3
Liechtenstein	EU	160	33717	825000000	25000	Vaduz	47.1333	9.5	N 47 deg 08	E 9 deg 30																					2														210.7
Lithuania	EU	65200	3596617	45230000000	12500	Vilnius	54.6833	25.2833	N 54 deg 41	E 25 deg 17							66.5	77.8	15	15	16				12.4	12.7	12.2	27	25	47	1.3	22	1		0.3	0.3	76	83			21	13	3	4	55.2
Luxembourg	EU	2586	468571	27270000000	58900	Luxembourg	49.6	6.1333	N 49 deg 36	E 6 deg 8							75.1	81.4	14	13	14				3.8			29	26		1.7	9	1				84	82	10	7			1	3	181.2
Macedonia	EU	25333	2045262	14400000000	7100	Skopje	42	21.4333	N 42 deg 0	E 21 deg 26									12	12	12				36.7	37	36.3	27	23		1.5	25	0		1	1.5	72	74	10	4	11	4	7	18	80.7
Madagascar	AF	587040	18040341	14560000000	800	Antananarivo	-18.8667	47.5	S 18 deg 52	E 47 deg 30	42	70	30	47	85	31	54	56.7	6	6	6				4.5	3.5	5.6		21	27	5.4	129	140	58	27.6	31.9	18	12	2	2	49	34	30	52	30.7
